"","input","filtered","denoisedF","denoisedR","merged","correct_length","nonchim"
"e04149-A",5725,4896,4787,4792,4680,4676,4667
"e04149-B",3858,3326,3283,3297,3156,3149,3149
"e04149-C",3209,2712,2517,2544,2403,2374,2374
"e04150-A",8051,6933,6909,6911,6765,6765,6765
"e04150-B",25469,21831,21788,21787,21434,21422,21419
"e04150-C",7320,6333,6294,6302,6063,6063,6063
"e04151-A",4163,3528,3492,3514,3392,3390,3390
"e04151-B",7205,6115,6075,6082,5764,5758,5758
"e04151-C",3370,2890,2861,2870,2657,2649,2649
"e04152-A",2353,2022,1989,1996,1534,1534,1534
"e04152-B",4379,3808,3767,3763,3379,3379,3364
"e04152-C",880,744,697,706,325,325,325
"e04153-A",17859,15487,15309,15213,8807,8807,8775
"e04153-B",8972,7722,7632,7646,7065,6898,6898
"e04153-C",7264,6266,6208,6207,5637,5637,5633
"e04154-A",13713,11814,11721,11761,10943,10943,10943
"e04154-B",14419,12352,12284,12282,11184,11178,11178
"e04154-C",5061,4390,4253,4349,3297,3297,3297
"e04155-A",2479,2066,2020,2045,1863,1847,1847
"e04155-B",3281,2794,2706,2745,2379,2372,2372
"e04155-C",1158,992,927,951,452,449,10
"e04156-A",2144,1867,1831,1827,1687,1687,1687
"e04156-B",6050,5201,5161,5177,4921,4892,4892
"e04156-C",1190,1001,828,847,602,602,602
"e04157-A",1862,1597,1575,1570,742,742,742
"e04157-B",2827,2425,2393,2407,2263,2263,2263
"e04157-C",484,420,402,403,224,216,216
"e04158-A",5459,4649,4578,4608,3675,3675,3675
"e04158-B",8656,7397,7323,7356,5360,5360,5360
"e04158-C",6989,5930,5881,5897,4644,4644,4644
"e04159-A",14931,12745,12654,12652,11925,11854,11832
"e04159-B",11259,9550,9484,9483,9272,9170,9170
"e04159-C",17388,14803,14678,14687,14274,14268,14066
"e04160-A",6462,5540,5527,5531,5299,5299,5299
"e04160-B",7144,6128,6082,6095,5182,5172,5163
"e04160-C",2265,1979,1970,1962,1883,1883,1883
"e04161-A",610,511,483,493,345,340,340
"e04161-B",1226,1049,988,1028,776,767,767
"e04161-C",1671,1421,1405,1407,1172,1172,1172
"e04162-A",13145,11119,11012,11019,10844,10844,10844
"e04162-B",19369,16321,16167,16163,15629,15623,15623
"e04162-C",19047,16194,16072,16019,15779,15779,15711
"e04163-A",906,758,737,740,607,607,607
"e04163-B",5295,4594,4577,4583,4447,4447,4447
"e04163-C",4627,3920,3892,3891,3763,3763,3763
"e04164-A",5257,4548,4488,4478,2372,2370,2370
"e04164-B",7289,6325,6251,6249,5347,5332,5323
"e04164-C",8104,6946,6879,6900,6141,6129,6129
"e04165-A",25128,21446,21319,21301,20252,20252,20243
"e04165-B",31432,26791,26601,26566,26029,26029,26029
"e04165-C",21151,18057,17961,17945,17367,17362,17362
"e04166-A",15418,13316,13281,13291,13186,13186,13186
"e04166-B",21326,18322,18278,18283,18078,18078,18060
"e04166-C",12605,10868,10798,10821,10556,10556,10305
"e04167-A",4734,4035,3997,4012,3890,3890,3890
"e04167-B",5795,4958,4916,4929,4574,4571,4571
"e04167-C",7539,6512,6470,6489,6219,6219,6219
"e04168-A",4530,3938,3889,3911,3739,3739,3739
"e04168-B",4375,3753,3710,3725,2902,2902,2902
"e04168-C",4415,3749,3695,3698,3518,3518,3515
"e04169-A",700,589,574,563,530,519,519
"e04169-B",4247,3717,3663,3686,3445,3445,3445
"e04169-C",2381,2036,2015,2028,1952,1949,1949
"e04170-A",21721,18688,18601,18602,18279,18271,18133
"e04170-B",25106,21688,21591,21592,21267,21267,20871
"e04170-C",21447,18474,18388,18393,18019,18019,17927
"e04171-A",13153,11229,11154,10920,10698,10698,10615
"e04171-B",18748,16039,15954,15771,15567,15567,15567
"e04171-C",15525,13312,13181,12995,9690,9690,9669
"e04172-A",9171,7839,7805,7816,7683,7683,7683
"e04172-B",333,282,246,248,19,3,3
"e04172-C",4016,3434,3409,3417,3177,3174,3174
"e04173-A",9460,8169,8119,8150,7915,7915,7915
"e04173-B",6690,5726,5698,5693,5562,5562,5562
"e04173-C",8395,7168,7118,7136,6951,6951,6830
"e04174-A",2043,1720,1687,1700,1564,1564,1564
"e04174-B",232,199,162,169,0,0,0
"e04174-C",1780,1521,1474,1481,1287,1287,1287
"e04175-A",3721,3143,3111,3120,3039,3039,3039
"e04175-B",1533,1327,1301,1306,751,743,743
"e04175-C",2006,1732,1667,1686,1538,1536,1536
"e04176-A",2495,2101,2052,2071,1684,1684,1684
"e04176-B",7641,6596,6535,6544,6130,6105,6105
"e04176-C",2874,2471,2386,2412,2032,2032,2032
"e04177-A",4308,3651,3556,3610,3163,3163,3163
"e04177-B",668,532,484,502,67,53,53
"e04177-C",2023,1733,1678,1683,1203,1203,1203
"e04178-A",624,537,498,524,362,352,352
"e04178-B",2023,1755,1705,1719,1245,1219,1219
"e04178-C",708,583,502,518,289,289,289
"e04179-A",4853,4173,4130,4136,3416,3414,3414
"e04179-B",2822,2387,2344,2347,2133,2115,2115
"e04179-C",2204,1861,1819,1837,1614,1614,1614
"e04180-A",3767,3197,3157,3160,2893,2890,2890
"e04180-B",2400,2064,2011,2025,1722,1722,1722
"e04180-C",1891,1590,1555,1563,1090,1090,1090
"e04181-A",8786,7632,7592,7585,7395,7395,7395
"e04181-B",6601,5676,5631,5633,4827,4827,4827
"e04181-C",6736,5805,5766,5768,5355,5349,5336
"e04182-A",6491,5642,5620,5614,5518,5516,5516
"e04182-B",7977,6821,6784,6780,6567,6555,6552
"e04182-C",7054,6077,6045,5969,5716,5710,5710
"e04183-A",2829,2414,2398,2399,2308,2306,2306
"e04183-B",1924,1656,1628,1639,1462,1460,1460
"e04183-C",5968,5073,5022,5040,4103,4068,4068
"e04184-A",720,624,608,607,534,534,534
"e04184-B",1392,1178,1157,1164,1015,1015,1015
"e04184-C",1308,1119,1105,1106,948,948,948
"e04185-A",11968,10348,10308,10317,9942,9942,9942
"e04185-B",12392,10644,10541,10522,9939,9939,9939
"e04185-C",4933,4246,4204,4237,3737,3737,3737
"e04186-A",63029,54481,54363,54372,53863,53863,53130
"e04186-B",80159,69179,69035,69084,68262,68252,67208
"e04186-C",68687,59412,59305,59324,58587,58580,57852
"e04187-A",1551,1338,1295,1302,347,347,347
"e04187-B",3279,2801,2722,2757,1339,1331,1331
"e04187-C",2511,2134,2062,2093,1023,1023,1023
"e04188-A",10165,8664,8577,8556,7645,7645,7645
"e04188-B",6161,5311,5235,5257,4514,4475,4475
"e04188-C",10182,8689,8608,8637,8053,8051,8051
"e04189-A",5015,4297,4273,4274,4146,4143,4143
"e04189-B",4755,4109,4070,4090,3914,3914,3914
"e04189-C",2006,1735,1702,1712,1526,1520,1520
"e04190-A",10281,8762,8631,8744,8541,8541,8531
"e04190-B",12352,10590,10534,10553,10365,10363,10363
"e04190-C",4273,3640,3611,3619,2582,2582,2582
"e04191-A",15121,13085,13015,13048,12923,12920,12920
"e04191-B",9303,8018,7958,7992,7913,7913,7913
"e04191-C",19822,17071,17004,17039,16823,16819,16819
"e04192-A",11708,10036,9997,10009,6458,6458,6458
"e04192-B",18694,16065,15978,15966,12768,12768,12760
"e04192-C",11512,9759,9708,9719,9523,9501,9493
"e04193-A",11721,10242,10140,10175,9303,9303,9228
"e04193-B",8900,7703,7648,7671,7433,7430,7430
"e04193-C",6019,5215,5177,5193,5035,5035,5035
"e04194-A",31173,26925,26751,26716,26453,26453,26441
"e04194-B",44449,38235,38027,38134,33209,33209,33132
"e04194-C",28161,24033,23874,23855,23603,23598,23460
"e04195-A",17430,14979,14939,14950,14873,14870,14851
"e04195-B",11969,10252,10221,10232,10116,10116,10109
"e04195-C",17064,14649,14603,14609,14436,14436,14431
"e04196-A",25486,21846,21777,21699,21588,21588,21568
"e04196-B",24569,20836,20729,20758,20602,20596,20366
"e04196-C",33163,28363,28225,28272,28061,28061,27762
"e04197-A",11293,9504,9418,9427,9281,9260,9157
